error_code,error_affects_availability,error_category,error_description
-99502,N,"Misc. Errors","Invalid Exclude Navigate Error Regular Expression"
-99501,N,"Misc. Errors","Invalid Include Navigate Error Regular Expression"
-99400,N,"Misc. Errors","Unknown Error in Firefox"
-99200,N,"Misc. Errors","The execution of a JavaScript block in the transaction script failed"
-99102,Y,"Error String Found","Error String Found"
-99101,Y,"Error Page Found","Error Page Found"
-99100,Y,"Missing Keyword","Missing Keyword"
-99006,Y,"Navigation Failed","Transaction Timed Out (Non-DOM action)"
-99005,Y,"Navigation Failed","Page Timeout Exceeded (Non-DOM action)"
-99004,Y,"Navigation Failed","Page Completion event timeout"
-99003,Y,"Navigation Failed","Page timeout"
-99002,Y,"Navigation Failed","Page completion condition changed"
-99001,Y,"Page Timeout Exceeded","Page Timeout Exceeded"
-99000,Y,"Transaction Timed Out","Transaction Timed Out"
-90505,Y,"HTTP Version Not Supported","HTTP Version Not Supported"
-90504,Y,"Gateway Timed Out","Gateway Timed Out"
-90503,Y,"Service Unavailable","Service Unavailable"
-90502,Y,"Bad Gateway","Bad Gateway"
-90501,Y,"Not Implemented","Not Implemented"
-90500,Y,"Internal Server Error","Internal Server Error"
-90415,Y,"Unsupported Media Type","Unsupported Media Type"
-90414,Y,"Request-URL Too Long","Request-URL Too Long"
-90413,Y,"Request Entity Too Large","Request Entity Too Large"
-90412,Y,"Precondition Failed","Precondition Failed"
-90411,Y,"Length Required","Length Required"
-90410,Y,"Gone","Gone"
-90409,Y,"Conflict","Conflict"
-90408,Y,"Request Timed Out","Request Timed Out"
-90407,Y,"Proxy Authentication Required","Proxy Authentication Required"
-90406,Y,"Not Acceptable","Not Acceptable"
-90405,Y,"Method Not Allowed","Method Not Allowed"
-90404,Y,"Page Not Found","Page Not Found"
-90403,Y,"Forbidden","Forbidden"
-90402,Y,"Payment Required","Payment Required"
-90401,Y,"Unauthorized","Unauthorized"
-90400,Y,"Bad Request","Bad Request"
-90026,N,"Misc. Errors","Internal Playback Error - INET_E_CANNOT_REPLACE_SFP_FILE"
-90025,N,"Misc. Errors","Internal Playback Error - INET_E_RESULT_DISPATCHED"
-90024,N,"Misc. Errors","Internal Playback Error - INET_E_CODE_DOWNLOAD_DECLINED"
-90023,N,"Misc. Errors","Internal Playback Error - INET_E_TERMINATED_BIND"
-90022,N,"Misc. Errors","Internal Playback Error - INET_E_USE_EXTEND_BINDING"
-90021,N,"Misc. Errors","Internal Playback Error - INET_E_CANNOT_LOCK_REQUEST"
-90020,N,"Misc. Errors","Internal Playback Error - INET_E_REDIRECT_TO_DIR"
-90019,N,"Misc. Errors","Internal Playback Error - INET_E_REDIRECT_FAILED"
-90018,N,"Misc. Errors","Internal Playback Error - INET_E_CANNOT_INSTANTIATE_OBJECT"
-90017,N,"Misc. Errors","Internal Playback Error - INET_E_CANNOT_LOAD_DATA"
-90016,N,"Misc. Errors","Internal Playback Error - INET_E_SECURITY_PROBLEM"
-90015,N,"Misc. Errors","Internal Playback Error - INET_E_UNKNOWN_PROTOCOL"
-90014,N,"Misc. Errors","Internal Playback Error - INET_E_INVALID_REQUEST"
-90013,N,"Misc. Errors","Internal Playback Error - INET_E_CONNECTION_TIMEOUT"
-90012,N,"Misc. Errors","Internal Playback Error - INET_E_NO_VALID_MEDIA"
-90011,N,"Misc. Errors","Internal Playback Error - INET_E_AUTHENTICATION_REQUIRED"
-90010,N,"Misc. Errors","Internal Playback Error - INET_E_DOWNLOAD_FAILURE"
-90009,N,"Misc. Errors","Internal Playback Error - INET_E_DATA_NOT_AVAILABLE"
-90008,N,"Misc. Errors","Internal Playback Error - INET_E_OBJECT_NOT_FOUND"
-90007,N,"Misc. Errors","Internal Playback Error - INET_E_CANNOT_CONNECT"
-90006,N,"Misc. Errors","Internal Playback Error - INET_E_NO_SESSION"
-90005,N,"Misc. Errors","Internal Playback Error - INET_E_INVALID_URL"
-90004,N,"Misc. Errors","Internal Playback Error - cannot initialize browser"
-90003,N,"Misc. Errors","Internal Playback Error - cannot initialize browser"
-90002,N,"Misc. Errors","Internal Playback Error - step execution failure"
-90001,N,"Misc. Errors","Internal Playback Error - incorrect script"
-90000,N,"Misc. Errors","Internal Playback Error"
-81752,N,"Misc. Errors","A syntax error was encountered while processing a script."
-81744,N,"Misc. Errors","Cannot use the IPX net number assigned by the remote server. Check the event log."
-81743,N,"Misc. Errors","The remote server requires encryption."
-81742,N,"Misc. Errors","The remote server does not support encryption."
-81741,N,"Misc. Errors","The local computer does not support encryption."
-81740,N,"Misc. Errors","The TAPI devices configured for Remote Access failed to initialize or were not installed correctly."
-81739,N,"Misc. Errors","The remote server cannot use the Windows NT encrypted password."
-81738,N,"Misc. Errors","The server did not assign an address."
-81737,N,"Misc. Errors","Loopback detected.."
-81736,N,"Misc. Errors","The remote computer terminated the control protocol."
-81735,N,"Misc. Errors","The requested address was rejected by the server.."
-81734,N,"Misc. Errors","The PPP link control protocol terminated.."
-81733,N,"Misc. Errors","The PPP control protocol for this network protocol is not available on the server."
-81732,N,"Misc. Errors","The PPP negotiation is not converging."
-81731,N,"Misc. Errors","The protocol is not configured."
-81730,N,"Misc. Errors","Computer registration is not complete."
-81729,N,"Misc. Errors","SLIP cannot be used unless the IP protocol is installed."
-81728,N,"Misc. Errors","Cannot find an IP adapter bound to Remote Access."
-81727,N,"Misc. Errors","Cannot access TCPCFG.DLL."
-81726,N,"Misc. Errors","The IPX protocol cannot be used for dial-out on more than one port at a time."
-81725,N,"Misc. Errors","The IPX protocol cannot dial-in on the port because the IPX router is not installed.."
-81724,N,"Misc. Errors","The IPX protocol cannot dial-out on the port because the computer is an IPX router."
-81723,N,"Misc. Errors","The phone number, including prefix and suffix, is too long."
-81722,N,"Misc. Errors","The PPP packet is invalid."
-81721,N,"Misc. Errors","Remote PPP peer is not responding."
-81720,N,"Misc. Errors","No PPP control protocols configured."
-81719,N,"Misc. Errors","PPP terminated by remote machine."
-81718,N,"Misc. Errors","PPP timeout."
-81717,N,"Misc. Errors","No IP addresses are available in the static pool of Remote Access IP addresses."
-81716,N,"Misc. Errors","The Remote Access IP configuration is unusable."
-81715,N,"Misc. Errors","Too many errors occurred because of poor phone line quality."
-81714,N,"Misc. Errors","Not enough ISDN channels are available to make the call."
-81713,N,"Misc. Errors","No active ISDN lines are available."
-81712,N,"Misc. Errors","Biplex port is initializing. Wait a few seconds and redial."
-81711,N,"Misc. Errors","RasMan initialization failure. Check the event log."
-81710,N,"Misc. Errors","Serial overrun errors were detected while communicating with your modem."
-81709,N,"Misc. Errors","Error changing password on domain."
-81708,N,"Misc. Errors","The account has expired."
-81707,N,"Misc. Errors","X.25 diagnostic indication."
-81706,N,"Misc. Errors","ERROR WRITING INITBPS"
-81705,N,"Misc. Errors","ERROR INVALID AUTH STATE"
-81704,N,"Misc. Errors","ERROR BAD CALLBACK NUMBER"
-81703,N,"Misc. Errors","ERROR INTERACTIVE MODE"
-81702,N,"Misc. Errors","Device response received when none expected."
-81701,N,"Misc. Errors","The device moved to a BPS rate not supported by the COM driver."
-81700,N,"Misc. Errors","The expanded command in the device .INF file is too long."
-81699,N,"Misc. Errors","The device response caused buffer overflow."
-81698,N,"Misc. Errors","A response keyname in the device .INF file is not in the expected format."
-81697,N,"Misc. Errors","ERROR PARTIAL RESPONSE LOOPING"
-81696,N,"Misc. Errors","ERROR STATE MACHINES ALREADY STARTED"
-81695,N,"Misc. Errors","ERROR STATE MACHINES NOT STARTED"
-81694,N,"Misc. Errors","ERROR DCB NOT FOUND"
-81693,N,"Misc. Errors","ERROR NOT BINARY MACRO"
-81692,N,"Misc. Errors","Hardware failure in port or attached device."
-81691,N,"Misc. Errors","Access denied because username and/or password is invalid on the domain."
-81690,N,"Misc. Errors","ERROR EMPTY INI FILE"
-81689,N,"Misc. Errors","ERROR READING DEFAULTOFF"
-81688,N,"Misc. Errors","ERROR WRITING DEFAULTOFF"
-81687,N,"Misc. Errors","ERROR WRITING USAGE"
-81686,N,"Misc. Errors","ERROR WRITING MAXCARRIERBPS"
-81685,N,"Misc. Errors","ERROR WRITING MAXCONNECTBPS"
-81684,N,"Misc. Errors","ERROR WRITING DEVICENAME"
-81683,N,"Misc. Errors","ERROR WRITING DEVICETYPE"
-81682,N,"Misc. Errors","ERROR WRITING SECTIONNAME"
-81681,N,"Misc. Errors","General error reported by device."
-81680,N,"Misc. Errors","There is no dial tone."
-81679,N,"Misc. Errors","Cannot detect carrier."
-81678,N,"Misc. Errors","There is no answer."
-81677,N,"Misc. Errors","A person answered instead of a modem."
-81676,N,"Misc. Errors","The line is busy."
-81675,N,"Misc. Errors","Cannot read the maximum carrier BPS rate from the media .INI file."
-81674,N,"Misc. Errors","Cannot read the maximum connection BPS rate from the media .INI file."
-81673,N,"Misc. Errors","Cannot read the usage from the media .INI file."
-81672,N,"Misc. Errors","Cannot read the device name from the media .INI file."
-81671,N,"Misc. Errors","Cannot read the device type from the media .INI file."
-81670,N,"Misc. Errors","Cannot read the section name from the media .INI file."
-81669,N,"Misc. Errors","The usage parameter in the media .INI file is invalid."
-81668,N,"Misc. Errors","The connection dropped."
-81667,N,"Misc. Errors","Cannot read the media .INI file."
-81666,N,"Misc. Errors","Your modem (or other connecting device) is not functioning."
-81665,N,"Misc. Errors","The port is not configured for Remote Access."
-81664,N,"Misc. Errors","Cannot allocate memory."
